name,location,rating,reviews,price (€),seats,sleep_places,driving_license,international,animals,model,year,weight (kg),fuel,km,tank (l),deposit (€),deposit_payment_method,smoking,most_reviews_year
Campervan,Lisboa,"5,0",20,60,4,3,B,sob pedido,autorizados,Westfalia Transporter,1990,"2.265,0 kg",Diesel,Desconhecido,"40,0","500,00",Dinheiro,não fumadora,2021
Autocaravana capucino,Leiria,"5,0",26,55,6,5,B,autorizada,sob pedido,Roller Team 41,2002,"3.400,0 kg",Diesel,Desconhecido,"80,0","750,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Carcavelos,"4,5",8,50,5,5,B,não autorizadas,sob pedido,Ford Transit 2.5,1993,"2.900,0 kg",Diesel,75-100000 km,"70,0","750,00","Dinheiro, Outros",não fumadora,2022
Autocaravana Perfilada,Corroios,"5,0",27,66,4,4,B,não autorizadas,autorizados,Ecovip Fr,1998,"3.500,0 kg",Diesel,"100-150,000 km","60,0","700,00","Dinheiro, Transferência, Outros",não fumadora,2021
Autocaravana capucino,Lisboa,"5,0",27,70,4,4,B,não autorizadas,autorizados,Challenger Challenger,2005,"3.400,0 kg",Diesel,"100-150,000 km","70,0","600,00","Dinheiro, Transferência",fumadora,2022
Campervan,Lisboa,"5,0",46,50,6,3,B,autorizada,autorizados,Campster Campster,1988,"2.390,0 kg",Gasolina,"100-150,000 km","50,0","600,00",Dinheiro,sob pedido,2022
Autocaravana Perfilada,Sobral da Abelheira,"5,0",10,80,5,5,B,autorizada,não autorizados,CARADO T334,2020,"3.495,0 kg",Diesel,15-30000 km,"70,0","1 000,00","Dinheiro, Transferência, Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",37,60,6,6,B,não autorizadas,autorizados,Fiat Ducato 230,1999,"3.400,0 kg",Diesel,150-200000 km,"100,0","600,00","Dinheiro, Transferência, Outros",fumadora,2022
Campervan,Lisboa,"5,0",21,55,2,2,B,sob pedido,autorizados,Fiat Ducato,1994,"3.100,0 kg",Diesel,"200-250,000 km","70,0","500,00",Dinheiro,não fumadora,2022
Furgão transformado,Lisboa,"5,0",32,89,4,4,B,autorizada,autorizados,Fiat Ducato,2019,"3.499,0 kg",Diesel,15-30000 km,"95,0","1 750,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",30,59,3,2,B,sob pedido,autorizados,Volkswagen,2000,"2.550,0 kg",Diesel,"200-250,000 km","80,0","600,00",Dinheiro,não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",22,80,4,3,B,não autorizadas,não autorizados,Hymer 524,2000,"3.500,0 kg",Diesel,"100-150,000 km","70,0","1 000,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",29,75,6,4,B,sob pedido,não autorizados,Euramobil SPRINTER 313,2005,"3.500,0 kg",Diesel,150-200000 km,"75,0","800,00",Dinheiro,não fumadora,2022
Campervan,Costa Da Caparica,"5,0",29,69,3,3,B,não autorizadas,não autorizados,Mercedes 207 D,1985,"2.550,0 kg",Diesel,"200-250,000 km","60,0","1 200,00",Transferência,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",14,60,6,6,B,sob pedido,autorizados,Fiat Ducatto,1995,"3.500,0 kg",Diesel,150-200000 km,"65,0","500,00",Dinheiro,sob pedido,2022
Campervan,Costa da Caparica,"5,0",26,54,5,3,B,não autorizadas,sob pedido,ArrVans4U Mb100d,1995,"2.650,0 kg",Diesel,"200-250,000 km","50,0","600,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Perfilada,Sintra,"5,0",16,70,4,3,B,autorizada,não autorizados,Knaus Sun Ti 650,2005,"3.500,0 kg",Diesel,75-100000 km,"100,0","1 000,00","Cartão De Crédito, Cheque, Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",19,65,3,3,B,sob pedido,autorizados,Ford Ford,1991,"2.600,0 kg",Diesel,150-200000 km,"70,0","550,00","Dinheiro, Outros",não fumadora,2022
Furgão transformado,Lisboa,"5,0",22,65,3,3,B,autorizada,autorizados,"Corkvan Ducato 2,3 l 120 ch",2009,"3.500,0 kg",Diesel,"200-250,000 km","90,0","1 250,00",Transferência,sob pedido,2022
Campervan,Lisboa,"5,0",5,80,4,4,B,sob pedido,sob pedido,"Fiat Ducato 2,0 l Multijet 100 ch.",2009,"3.000,0 kg",Diesel,"100-150,000 km","80,0","2 000,00",Cartão De Crédito,não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",11,98,4,4,B,sob pedido,autorizados,Hymer,2007,"3.500,0 kg",Diesel,75-100000 km,"90,0","1 500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Lisboa,"5,0",22,48,3,2,B,não autorizadas,não autorizados,Volkswagen T4 2.4d,1994,"2.775,0 kg",Diesel,Mais 250.000 km,"60,0","600,00","Dinheiro, Transferência, Outros",não fumadora,2019
Autocaravana Perfilada,Lisboa,"5,0",17,110,4,4,B,sob pedido,autorizados,Bürstner It 710 G Edition 30,2019,"3.500,0 kg",Diesel,Desconhecido,"90,0","1 500,00","Dinheiro, Transferência, Outros",sob pedido,2021
